Car_type,Weight_kg,HP,Height_mm,Drag_coefficient,Frontal area_m2,Track,Corners,Straights,Distance,Time_s
McLaren P1,"1,519",916,"1,240",0.36,1.12,Silverstone_national,18,3,2.639,58.24
Porsche 918 Spyder,"1,671",887,"1,230",0.35,1.15,Silverstone_national,18,3,2.639,58.47
Ferrari LaFerrari,"1,606",963,"1,195",0.34,1.1,Silverstone_national,18,3,2.639,58.58
Porsche 911 GT3 RS (991),"1,469",500,"1,275",0.39,1.2,Silverstone_national,18,3,2.639,60
Porsche Cayman GT4 (981),"1,360",385,"1,225",0.37,1.08,Silverstone_national,18,3,2.639,63.2
Ascari KZ1,"1,350",507,"1,210",0.38,1.09,Silverstone_national,18,3,2.639,65.2
Modified Honda Integra Type R,"1,120",249,"1,300",0.4,1.14,Silverstone_national,18,3,2.639,66
Caterham Superlight R,470,193,"1,150",0.33,1.05,Silverstone_national,18,3,2.639,66.26
Ferrari F430,"1,497",490,"1,220",0.37,1.13,Silverstone_national,18,3,2.639,67.1
Modified BMW M2 Competition (F87),1495,365,"1,270",0.38,1.11,Silverstone_national,18,3,2.639,67.29
TVR Sagaris,"1,078",400,"1,200",0.37,1.1,Silverstone_national,18,3,2.639,68
Chevrolet Corvette C6,"1,487",405,"1,220",0.36,1.13,Silverstone_national,18,3,2.639,68.4
Aston Martin V8 Vantage,"1,633",426,"1,230",0.37,1.12,Silverstone_national,18,3,2.639,69.4
Ferrari 550 Maranello,"1,724",486,"1,220",0.36,1.14,Silverstone_national,18,3,2.639,69.81
Lotus Exige 240R,941,247,"1,150",0.34,1.08,Silverstone_national,18,3,2.639,70.2
Porsche Boxster S (987),"1,400",280,"1,225",0.36,1.11,Silverstone_national,18,3,2.639,70.2
BMW M5 (E60),"1,868",507,"1,400",0.34,1.15,Silverstone_national,18,3,2.639,70.4
Lancer Evo IX FQ-340,"1,400",350,"1,250",0.35,1.12,Silverstone_national,18,3,2.639,70.4
Lotus Esprit V8,"1,376",355,"1,200",0.36,1.13,Silverstone_national,18,3,2.639,71.6
Mitsubishi Lancer Evo V GSR,"1,338",280,"1,250",0.35,1.11,Silverstone_national,18,3,2.639,71.93
Porsche 911 Carrera (996),"1,370",300,"1,225",0.36,1.1,Silverstone_national,18,3,2.639,72.12
Modified BMW M3 (F80),1520,500,"1,270",0.38,1.11,Silverstone_national,18,3,2.639,72.65
Mercedes-Benz E 55 AMG (W210),"1,672",354,"1,400",0.34,1.14,Silverstone_national,18,3,2.639,72.89
Modified Honda Civic Type-R (FN2),"1,170",250,"1,300",0.4,1.14,Silverstone_national,18,3,2.639,73.19
Opel Astra OPC,"1,343",241,"1,250",0.35,1.11,Silverstone_national,18,3,2.639,74.6
Renault Clio 182 Trophy,"1,090",182,"1,200",0.34,1.08,Silverstone_national,18,3,2.639,74.8
VW Golf GTI (Mk V),"1,408",200,"1,400",0.36,1.1,Silverstone_national,18,3,2.639,75.4
Ford Fiesta ST,"1,147",150,"1,300",0.35,1.09,Silverstone_national,18,3,2.639,77.06
BMW 328i Coupe,"1,456",193,"1,400",0.36,1.11,Silverstone_national,18,3,2.639,77.64
Honda Integra Type R (DC2),"1,145",190,"1,300",0.35,1.1,Silverstone_national,18,3,2.639,77.65
Ford Cougar 2.5i,"1,377",170,"1,400",0.36,1.11,Silverstone_national,18,3,2.639,80.06
McLaren P1,"1,519",916,"1,240",0.36,1.12,Spa,6,3,7.004,118.24
Porsche 918 Spyder,"1,671",887,"1,230",0.35,1.15,Spa,6,3,7.004,118.47
Ferrari LaFerrari,"1,606",963,"1,195",0.34,1.1,Spa,6,3,7.004,118.58
Porsche 911 GT3 RS (991),"1,469",500,"1,275",0.39,1.2,Spa,6,3,7.004,120
Porsche Cayman GT4 (981),"1,360",385,"1,225",0.37,1.08,Spa,6,3,7.004,123.2
Ascari KZ1,"1,350",507,"1,210",0.38,1.09,Spa,6,3,7.004,125.2
Modified Honda Integra Type R,"1,120",249,"1,300",0.4,1.14,Spa,6,3,7.004,126
Caterham Superlight R,470,193,"1,150",0.33,1.05,Spa,6,3,7.004,126.26
Ferrari F430,"1,497",490,"1,220",0.37,1.13,Spa,6,3,7.004,127.1
Modified BMW M2 Competition (F87),1495,365,"1,270",0.38,1.11,Spa,6,3,7.004,127.29
TVR Sagaris,"1,078",400,"1,200",0.37,1.1,Spa,6,3,7.004,128
Chevrolet Corvette C6,"1,487",405,"1,220",0.36,1.13,Spa,6,3,7.004,128.4
Aston Martin V8 Vantage,"1,633",426,"1,230",0.37,1.12,Spa,6,3,7.004,129.4
Ferrari 550 Maranello,"1,724",486,"1,220",0.36,1.14,Spa,6,3,7.004,129.81
Lotus Exige 240R,941,247,"1,150",0.34,1.08,Spa,6,3,7.004,130.2
Porsche Boxster S (987),"1,400",280,"1,225",0.36,1.11,Spa,6,3,7.004,130.2
BMW M5 (E60),"1,868",507,"1,400",0.34,1.15,Spa,6,3,7.004,130.4
