iter	MultiRMSE
0	16407.37318
1	15682.78211
2	15045.958
3	14365.46281
4	13746.76965
5	13148.84525
6	12563.83166
7	12044.07067
8	11543.56804
9	11032.20465
10	10557.27212
11	10114.01054
12	9678.813007
13	9280.400876
14	8877.018698
15	8499.760013
16	8148.542979
17	7818.574425
18	7500.423423
19	7185.190135
20	6906.595677
21	6615.504848
22	6366.197882
23	6114.093017
24	5875.020826
25	5648.239675
26	5448.455238
27	5256.882223
28	5052.661292
29	4857.794605
30	4662.069002
31	4494.995115
32	4309.88069
33	4138.680174
34	3987.060025
35	3828.228935
36	3674.805013
37	3539.502407
38	3407.073569
39	3278.220978
40	3155.015507
41	3042.199672
42	2930.424746
43	2827.793851
44	2726.572894
45	2631.316759
46	2536.49196
47	2446.960816
48	2361.497859
49	2275.951745
50	2191.803081
51	2112.869592
52	2050.84385
53	1983.108409
54	1919.19998
55	1860.56006
56	1800.333398
57	1745.140074
58	1686.937695
59	1635.890926
60	1586.324361
61	1539.400692
62	1488.63114
63	1442.966445
64	1397.689074
65	1357.150905
66	1319.30839
67	1286.612358
68	1255.73355
69	1222.124962
70	1189.227084
71	1159.324768
72	1129.600874
73	1102.377134
74	1073.766483
75	1049.55559
76	1026.718381
77	1006.797534
78	984.8283685
79	965.7960629
80	948.1490084
81	927.5244217
82	912.2488254
83	895.1645511
84	878.2658415
85	862.0477767
86	845.029858
87	828.729076
88	814.8665398
89	803.1346264
90	788.3476953
91	774.8075867
92	765.7447277
93	753.8247994
94	742.3837624
95	731.1182823
96	719.5305032
97	708.7804969
98	698.4174063
99	688.2249421
100	678.7790171
101	669.7172927
102	659.1175471
103	651.3569064
104	642.2221485
105	634.6900011
106	625.4657112
107	617.2293705
108	610.6285789
109	603.0680172
110	596.1364595
111	590.1406546
112	582.800324
113	575.4237734
114	568.0315816
115	561.5068662
116	554.6847915
117	548.6053775
118	542.758838
119	536.084869
120	531.513007
121	526.5408265
122	521.3238504
123	516.7371741
124	513.2535875
125	509.4877491
126	505.2586275
127	501.7981361
128	497.33794
129	493.2786709
130	489.2576423
131	485.4819516
132	482.0802266
133	478.3113496
134	474.6694283
135	470.0291509
136	466.976745
137	463.8654615
138	460.6729301
139	457.5059077
140	453.2564024
141	450.2044308
142	447.7700122
143	444.8941809
144	442.2049327
145	439.7885419
146	437.7080003
147	434.6948853
148	431.588989
149	429.0536758
150	426.1411458
151	423.8983191
152	421.0188156
153	418.6576178
154	416.7213787
155	414.4571518
156	412.6375105
157	410.3526981
158	408.4761292
159	406.3483855
160	404.4169665
161	402.1619349
162	400.2219002
163	398.2541121
164	396.8576873
165	394.9637458
166	393.2679287
167	391.0039276
168	388.8278651
169	387.5203775
170	385.7294382
171	384.6305914
172	383.139429
173	381.7750521
174	380.7156286
175	378.5089907
176	377.3384985
177	376.0498618
178	374.0581023
179	372.5823351
180	371.1231089
181	369.4848045
182	368.4068694
183	366.9756618
184	365.7499543
185	364.5193367
186	363.2073183
187	362.1009252
188	360.7301038
189	359.9919715
190	358.6045603
191	357.3735275
192	356.6192584
193	355.2921399
194	354.1145292
195	352.9357474
196	352.0642036
197	351.083793
198	349.9633901
199	348.6382525
200	347.5359281
201	346.3093209
202	344.8146587
203	343.5847748
204	342.7281896
205	341.7930733
206	340.5614605
207	339.665775
208	338.757057
209	337.6455093
210	336.6222928
211	335.7100856
212	334.2689175
213	333.5175403
214	332.8417643
215	332.3913174
216	331.9920157
217	331.31553
218	330.3289141
219	329.265552
220	328.5206149
221	327.886003
222	327.3656658
223	326.5164472
224	325.9869677
225	325.2632059
226	324.2167807
227	323.3528732
228	321.7954829
229	320.9485058
230	320.1511786
231	319.1753057
232	318.6489241
233	317.7307751
234	317.05269
235	315.8323637
236	314.6554642
237	313.8803871
238	313.3053259
239	312.4676691
240	311.5398633
241	310.930075
242	310.3696962
243	309.7116384
244	309.089951
245	308.536352
246	307.950386
247	307.4510289
248	307.0069709
249	306.6585616
250	305.9391358
251	305.4766879
252	305.1349207
253	304.7788862
254	304.206943
255	302.7209186
256	301.1478076
257	300.3701565
258	299.9349734
259	299.1756213
260	298.355549
261	297.1412343
262	296.5751611
263	296.1051601
264	295.7418021
265	295.3275742
266	294.824104
267	294.0390661
268	293.0206879
269	292.6210864
270	291.9159924
271	291.4117742
272	290.7624377
273	290.1403797
274	289.6922219
275	289.1064647
276	288.5616026
277	287.6698759
278	286.4191993
279	286.0544637
280	285.5384963
281	285.2437575
282	284.4856713
283	284.1637301
284	283.7978519
285	283.4948245
286	282.8947641
287	282.467268
288	281.9942152
289	281.576943
290	280.4761841
291	279.4731171
292	279.1824902
293	278.7300233
294	278.4589563
295	278.0835318
296	277.6863721
297	277.1810033
298	276.7080545
299	276.4324196
300	275.7706623
301	275.2235577
302	274.6208051
303	274.3674193
304	273.7913619
305	272.9757924
306	272.6435138
307	272.2305027
308	271.5802463
309	270.7043857
310	270.2630591
311	269.9512448
312	269.5735482
313	269.1515795
314	268.1564845
315	267.6213611
316	267.349057
317	266.8466165
318	266.2978011
319	265.723427
320	265.3332395
321	264.6243188
322	263.9882687
323	263.4700902
324	262.9224182
325	262.3195011
326	261.5375655
327	261.3050546
328	261.0557701
329	260.7775957
330	260.1711389
331	259.8836411
332	259.1955348
333	258.8488763
334	258.6302222
335	258.4068361
336	257.621131
337	257.2078254
338	256.5911765
339	256.0098446
340	255.6603522
341	255.4408543
342	255.0168992
343	254.7823889
344	253.9741183
345	253.5436428
346	253.1931294
347	253.0248637
348	252.7419085
349	252.5006052
350	252.2545677
351	251.6400055
352	251.1550591
353	250.9173373
354	250.2659955
355	249.7035358
356	249.2992929
357	248.6946032
358	247.9444724
359	247.2004671
360	246.9431907
361	246.415742
362	245.9251765
363	245.69678
364	245.2979185
365	244.9857009
366	244.6319589
367	244.0374802
368	243.7783818
369	243.52179
370	243.3276999
371	243.0408015
372	242.7864123
373	242.5420442
374	242.1681197
375	241.8899891
376	241.31891
377	240.9949615
378	240.7216281
379	240.101474
380	239.8673408
381	239.5487599
382	239.1859645
383	239.0332641
384	238.5145216
385	238.1137032
386	238.0182976
387	237.7015699
388	237.380353
389	237.0651648
390	236.6325163
391	236.5053267
392	236.2883388
393	236.1315627
394	235.6153443
395	235.2766372
396	234.6880992
397	234.1282176
398	233.7225955
399	233.1509118
400	232.5701207
401	232.1449278
402	231.8934638
403	231.6757906
404	231.4470124
405	230.9026865
406	230.5591795
407	230.1544931
408	229.9628593
409	229.8118156
410	229.3555492
411	229.0457456
412	228.7461643
413	228.5445564
414	228.2460793
415	228.0064211
416	227.5882598
417	227.37274
418	227.1088602
419	226.9998429
420	226.5307586
421	226.1128995
422	225.7381568
423	225.4783886
424	225.2142932
425	224.5244323
426	224.2453183
427	223.8748891
428	223.4666112
429	223.0885717
430	222.9061401
431	222.593712
432	222.2029684
433	222.092273
434	221.8365883
435	221.5867549
436	221.2753664
437	221.0855523
438	220.8516752
439	220.5046314
440	220.3981701
441	219.9141385
442	219.6874586
443	219.1936965
444	218.9844114
445	218.9072364
446	218.7164475
447	218.3095391
448	218.0033948
449	217.7850673
450	217.6309813
451	217.3849089
452	217.2125116
453	216.6789557
454	216.252944
455	216.1002549
456	215.8567592
457	215.6439094
458	215.1436107
459	214.6946736
460	214.4442215
461	214.0854654
462	213.842435
463	213.3578498
464	213.0473351
465	212.5613575
466	212.257792
467	212.0374791
468	211.6652516
469	211.4530434
470	211.2011512
471	211.0362937
472	210.8152472
473	210.3087691
474	210.0523062
475	209.469253
476	209.0295613
477	208.5377908
478	208.0090498
479	207.8239459
480	207.2170195
481	207.018828
482	206.7750364
483	206.2428935
484	205.7180177
485	205.3218315
486	205.165216
487	204.9258917
488	204.607826
489	204.5088142
490	204.0305361
491	203.6844099
492	203.2061172
493	203.0579949
494	202.8626297
495	202.4932604
496	202.3316055
497	202.1961146
498	201.8181359
499	201.5485377
